2022-07-24 19:01:45.032,Mode 3 access,100.00," gX: 0.20"," gY: 0.67"," gZ: 0.17",," Gain*gyroY: 66",
2022-07-24 19:01:45.049,Mode 3 access,100.00," gX: 0.21"," gY: 0.68"," gZ: 0.17",," Gain*gyroY: 67",
2022-07-24 19:01:45.065,Mode 3 access,100.00," gX: 0.20"," gY: 0.69"," gZ: 0.16",," Gain*gyroY: 69",
2022-07-24 19:01:45.082,Mode 3 access,100.00," gX: 0.19"," gY: 0.74"," gZ: 0.16",," Gain*gyroY: 74",
2022-07-24 19:01:45.098,Mode 3 access,100.00," gX: 0.19"," gY: 0.74"," gZ: 0.16",," Gain*gyroY: 74",
2022-07-24 19:01:45.115,Mode 3 access,100.00," gX: 0.20"," gY: 0.81"," gZ: 0.18",," Gain*gyroY: 80",
2022-07-24 19:01:45.131,Mode 3 access,100.00," gX: 0.21"," gY: 0.84"," gZ: 0.18",," Gain*gyroY: 84",
2022-07-24 19:01:45.147,Mode 3 access,100.00," gX: 0.23"," gY: 0.73"," gZ: 0.15",," Gain*gyroY: 72",
2022-07-24 19:01:45.164,Mode 3 access,100.00," gX: 0.24"," gY: 0.68"," gZ: 0.12",," Gain*gyroY: 67",
2022-07-24 19:01:45.176,Mode 3 access,100.00," gX: 0.24"," gY: 0.68"," gZ: 0.12",," Gain*gyroY: 67",
2022-07-24 19:01:45.192,Mode 3 access,100.00," gX: 0.25"," gY: 0.65"," gZ: 0.12",," Gain*gyroY: 64",
2022-07-24 19:01:45.209,Mode 3 access,100.00," gX: 0.26"," gY: 0.67"," gZ: 0.11",," Gain*gyroY: 67",
2022-07-24 19:01:45.226,Mode 3 access,100.00," gX: 0.26"," gY: 0.75"," gZ: 0.12",," Gain*gyroY: 74",
2022-07-24 19:01:45.242,Mode 3 access,100.00," gX: 0.26"," gY: 0.79"," gZ: 0.13",," Gain*gyroY: 78",
2022-07-24 19:01:45.258,Mode 3 access,100.00," gX: 0.26"," gY: 0.79"," gZ: 0.13",," Gain*gyroY: 78",
2022-07-24 19:01:45.275,Mode 3 access,100.00," gX: 0.27"," gY: 0.80"," gZ: 0.13",," Gain*gyroY: 80",
2022-07-24 19:01:45.291,Mode 3 access,100.00," gX: 0.28"," gY: 0.85"," gZ: 0.14",," Gain*gyroY: 85",
2022-07-24 19:01:45.307,Mode 3 access,100.00," gX: 0.27"," gY: 1.01"," gZ: 0.13",," Gain*gyroY: 101",
2022-07-24 19:01:45.324,Mode 3 access,100.00," gX: 0.28"," gY: 0.97"," gZ: 0.12",," Gain*gyroY: 97",
2022-07-24 19:01:45.336,Mode 3 access,100.00," gX: 0.28"," gY: 0.97"," gZ: 0.12",," Gain*gyroY: 97",
2022-07-24 19:01:45.352,Mode 3 access,100.00," gX: 0.29"," gY: 0.96"," gZ: 0.13",," Gain*gyroY: 96",
2022-07-24 19:01:45.369,Mode 3 access,100.00," gX: 0.30"," gY: 0.85"," gZ: 0.13",," Gain*gyroY: 84",
2022-07-24 19:01:45.384,Mode 3 access,100.00," gX: 0.28"," gY: 0.79"," gZ: 0.14",," Gain*gyroY: 78",
2022-07-24 19:01:45.401,Mode 3 access,100.00," gX: 0.28"," gY: 0.69"," gZ: 0.13",," Gain*gyroY: 68",
2022-07-24 19:01:45.417,Mode 3 access,100.00," gX: 0.28"," gY: 0.69"," gZ: 0.13",," Gain*gyroY: 68",
2022-07-24 19:01:45.434,Mode 3 access,100.00," gX: 0.25"," gY: 0.71"," gZ: 0.13",," Gain*gyroY: 71",
2022-07-24 19:01:45.451,Mode 3 access,100.00," gX: 0.23"," gY: 0.60"," gZ: 0.11",," Gain*gyroY: 59",
2022-07-24 19:01:45.467,Mode 3 access,100.00," gX: 0.20"," gY: 0.57"," gZ: 0.11",," Gain*gyroY: 57",
2022-07-24 19:01:45.483,Mode 3 access,100.00," gX: 0.18"," gY: 0.56"," gZ: 0.09",," Gain*gyroY: 56",
