2022-07-24 19:50:19.683,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:19.696,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:50:19.712,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:50:19.728,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.745,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.761,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.773,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.790,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.806,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:50:19.823,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:19.839,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.855,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.872,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.888,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.905,Mode 3 access,125.00," gX: 0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:19.921,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:19.937,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:19.949,Mode 3 access,125.00," gX: -0.00"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 2",
2022-07-24 19:50:19.965,Mode 3 access,125.00," gX: 0.01"," gY: 0.02"," gZ: 0.00",," Gain*gyroY: 2",
2022-07-24 19:50:19.982,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:50:19.998,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:20.015,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:20.031,Mode 3 access,125.00," gX: -0.01"," gY: 0.02"," gZ: -0.01",," Gain*gyroY: 2",
2022-07-24 19:50:20.047,Mode 3 access,125.00," gX: -0.01"," gY: 0.02"," gZ: -0.01",," Gain*gyroY: 2",
2022-07-24 19:50:20.064,Mode 3 access,125.00," gX: 0.00"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 2",
2022-07-24 19:50:20.080,Mode 3 access,125.00," gX: 0.01"," gY: 0.03"," gZ: -0.01",," Gain*gyroY: 4",
2022-07-24 19:50:20.097,Mode 3 access,125.00," gX: 0.01"," gY: 0.03"," gZ: -0.01",," Gain*gyroY: 4",
2022-07-24 19:50:20.113,Mode 3 access,125.00," gX: 0.00"," gY: 0.04"," gZ: -0.01",," Gain*gyroY: 4",
2022-07-24 19:50:20.125,Mode 3 access,125.00," gX: -0.00"," gY: 0.04"," gZ: -0.00",," Gain*gyroY: 4",
2022-07-24 19:50:20.142,Mode 3 access,125.00," gX: -0.00"," gY: 0.05"," gZ: -0.00",," Gain*gyroY: 5",
2022-07-24 19:50:20.158,Mode 3 access,125.00," gX: -0.00"," gY: 0.04"," gZ: -0.00",," Gain*gyroY: 5",
2022-07-24 19:50:20.175,Mode 3 access,125.00," gX: -0.00"," gY: 0.04"," gZ: -0.00",," Gain*gyroY: 5",
2022-07-24 19:50:20.191,Mode 3 access,125.00," gX: -0.00"," gY: 0.03"," gZ: -0.00",," Gain*gyroY: 4",
2022-07-24 19:50:20.207,Mode 3 access,125.00," gX: -0.00"," gY: 0.04"," gZ: -0.00",," Gain*gyroY: 4",
2022-07-24 19:50:20.224,Mode 3 access,125.00," gX: -0.00"," gY: 0.04"," gZ: -0.00",," Gain*gyroY: 4",
2022-07-24 19:50:20.241,Mode 3 access,125.00," gX: 0.00"," gY: 0.04"," gZ: -0.00",," Gain*gyroY: 4",
2022-07-24 19:50:20.256,Mode 3 access,125.00," gX: 0.00"," gY: 0.04"," gZ: -0.00",," Gain*gyroY: 4",
2022-07-24 19:50:20.273,Mode 3 access,125.00," gX: 0.00"," gY: 0.03"," gZ: -0.00",," Gain*gyroY: 4",
2022-07-24 19:50:20.290,Mode 3 access,125.00," gX: -0.01"," gY: 0.03"," gZ: -0.01",," Gain*gyroY: 4",
2022-07-24 19:50:20.302,Mode 3 access,125.00," gX: -0.01"," gY: 0.03"," gZ: -0.01",," Gain*gyroY: 3",
2022-07-24 19:50:20.318,Mode 3 access,125.00," gX: -0.00"," gY: 0.03"," gZ: -0.01",," Gain*gyroY: 4",
2022-07-24 19:50:20.335,Mode 3 access,125.00," gX: -0.00"," gY: 0.03"," gZ: -0.01",," Gain*gyroY: 4",
2022-07-24 19:50:20.351,Mode 3 access,125.00," gX: 0.00"," gY: 0.03"," gZ: -0.01",," Gain*gyroY: 3",
2022-07-24 19:50:20.367,Mode 3 access,125.00," gX: -0.00"," gY: 0.03"," gZ: -0.01",," Gain*gyroY: 3",
2022-07-24 19:50:20.383,Mode 3 access,125.00," gX: -0.00"," gY: 0.03"," gZ: -0.01",," Gain*gyroY: 3",
2022-07-24 19:50:20.400,Mode 3 access,125.00," gX: -0.00"," gY: 0.03"," gZ: -0.01",," Gain*gyroY: 3",
2022-07-24 19:50:20.417,Mode 3 access,125.00," gX: -0.00"," gY: 0.03"," gZ: -0.01",," Gain*gyroY: 3",
2022-07-24 19:50:20.433,Mode 3 access,125.00," gX: -0.01"," gY: 0.03"," gZ: -0.01",," Gain*gyroY: 3",
2022-07-24 19:50:20.449,Mode 3 access,125.00," gX: -0.01"," gY: 0.02"," gZ: -0.01",," Gain*gyroY: 2",
2022-07-24 19:50:20.461,Mode 3 access,125.00," gX: -0.01"," gY: 0.02"," gZ: -0.01",," Gain*gyroY: 2",
2022-07-24 19:50:20.478,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 1",
2022-07-24 19:50:20.494,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 1",
2022-07-24 19:50:20.511,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 1",
2022-07-24 19:50:20.527,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:20.544,Mode 3 access,125.00," gX: -0.01"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 2",
2022-07-24 19:50:20.560,Mode 3 access,125.00," gX: -0.01"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 2",
2022-07-24 19:50:20.576,Mode 3 access,125.00," gX: -0.01"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 2",
2022-07-24 19:50:20.593,Mode 3 access,125.00," gX: -0.01"," gY: 0.02"," gZ: -0.00",," Gain*gyroY: 2",
2022-07-24 19:50:20.609,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:20.626,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:50:20.638,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:50:20.654,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:50:20.670,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
