2022-07-24 20:07:07.005,Mode 3 access,125.00," gX: -0.00"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:07.016,Mode 3 access,125.00," gX: -0.00"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:07.033,Mode 3 access,125.00," gX: -0.00"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:07.050,Mode 3 access,125.00," gX: -0.00"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:07.062,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:07.078,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:07.095,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:07.107,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:07.123,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:07.139,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:07.151,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:07.168,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:07.185,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:07.197,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:07.214,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:07.230,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:07.242,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:07.259,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:07.275,Mode 3 access,125.00," gX: -0.02"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:07.287,Mode 3 access,125.00," gX: -0.02"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:07.303,Mode 3 access,125.00," gX: -0.02"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:07.320,Mode 3 access,125.00," gX: -0.01"," gY: -0.01"," gZ: -0.01",,,
2022-07-24 20:07:07.332,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 20:07:07.349,Mode 3 access,125.00," gX: 0.00"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 20:07:07.365,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: 0.01",," Gain*gyroY: 0",
2022-07-24 20:07:07.382,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: 0.01",," Gain*gyroY: 0",
2022-07-24 20:07:07.398,Mode 3 access,125.00," gX: -0.01"," gY: 0.02"," gZ: 0.02",," Gain*gyroY: 2",
2022-07-24 20:07:07.414,Mode 3 access,125.00," gX: -0.00"," gY: 0.04"," gZ: 0.03",," Gain*gyroY: 4",
2022-07-24 20:07:07.431,Mode 3 access,125.00," gX: -0.01"," gY: 0.03"," gZ: 0.05",," Gain*gyroY: 4",
2022-07-24 20:07:07.447,Mode 3 access,125.00," gX: -0.02"," gY: 0.01"," gZ: 0.05",," Gain*gyroY: 1",
2022-07-24 20:07:07.459,Mode 3 access,125.00," gX: -0.02"," gY: 0.01"," gZ: 0.05",," Gain*gyroY: 1",
2022-07-24 20:07:07.476,Mode 3 access,125.00," gX: -0.03"," gY: 0.04"," gZ: 0.06",," Gain*gyroY: 5",
2022-07-24 20:07:07.492,Mode 3 access,125.00," gX: -0.03"," gY: 0.07"," gZ: 0.07",," Gain*gyroY: 8",
2022-07-24 20:07:07.508,Mode 3 access,125.00," gX: -0.02"," gY: 0.14"," gZ: 0.07",," Gain*gyroY: 16",
2022-07-24 20:07:07.525,Mode 3 access,125.00," gX: -0.03"," gY: 0.18"," gZ: 0.07",," Gain*gyroY: 22",
2022-07-24 20:07:07.541,Mode 3 access,125.00," gX: -0.03"," gY: 0.18"," gZ: 0.07",," Gain*gyroY: 22",
2022-07-24 20:07:07.558,Mode 3 access,125.00," gX: -0.03"," gY: 0.18"," gZ: 0.06",," Gain*gyroY: 23",
2022-07-24 20:07:07.574,Mode 3 access,125.00," gX: -0.03"," gY: 0.21"," gZ: 0.06",," Gain*gyroY: 26",
2022-07-24 20:07:07.590,Mode 3 access,125.00," gX: -0.02"," gY: 0.27"," gZ: 0.06",," Gain*gyroY: 33",
2022-07-24 20:07:07.607,Mode 3 access,125.00," gX: -0.02"," gY: 0.28"," gZ: 0.05",," Gain*gyroY: 35",
2022-07-24 20:07:07.618,Mode 3 access,125.00," gX: -0.02"," gY: 0.28"," gZ: 0.05",," Gain*gyroY: 35",
2022-07-24 20:07:07.635,Mode 3 access,125.00," gX: -0.02"," gY: 0.28"," gZ: 0.04",," Gain*gyroY: 35",
2022-07-24 20:07:07.651,Mode 3 access,125.00," gX: -0.02"," gY: 0.30"," gZ: 0.04",," Gain*gyroY: 37",
2022-07-24 20:07:07.668,Mode 3 access,125.00," gX: -0.03"," gY: 0.35"," gZ: 0.05",," Gain*gyroY: 43",
2022-07-24 20:07:07.684,Mode 3 access,125.00," gX: -0.03"," gY: 0.36"," gZ: 0.05",," Gain*gyroY: 44",
2022-07-24 20:07:07.701,Mode 3 access,125.00," gX: -0.03"," gY: 0.36"," gZ: 0.05",," Gain*gyroY: 44",
2022-07-24 20:07:07.717,Mode 3 access,125.00," gX: -0.04"," gY: 0.37"," gZ: 0.05",," Gain*gyroY: 46",
2022-07-24 20:07:07.733,Mode 3 access,125.00," gX: -0.05"," gY: 0.40"," gZ: 0.04",," Gain*gyroY: 50",
2022-07-24 20:07:07.750,Mode 3 access,125.00," gX: -0.07"," gY: 0.44"," gZ: 0.03",," Gain*gyroY: 54",
2022-07-24 20:07:07.766,Mode 3 access,125.00," gX: -0.08"," gY: 0.49"," gZ: 0.03",," Gain*gyroY: 60",
2022-07-24 20:07:07.783,Mode 3 access,125.00," gX: -0.08"," gY: 0.49"," gZ: 0.03",," Gain*gyroY: 60",
2022-07-24 20:07:07.795,Mode 3 access,125.00," gX: -0.09"," gY: 0.53"," gZ: 0.04",," Gain*gyroY: 66",
2022-07-24 20:07:07.811,Mode 3 access,125.00," gX: -0.10"," gY: 0.55"," gZ: 0.08",," Gain*gyroY: 68",
2022-07-24 20:07:07.828,Mode 3 access,125.00," gX: -0.09"," gY: 0.52"," gZ: 0.11",," Gain*gyroY: 64",
2022-07-24 20:07:07.844,Mode 3 access,125.00," gX: -0.05"," gY: 0.45"," gZ: 0.12",," Gain*gyroY: 56",
